row,tr,tc,word_hex,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8,byte9,byte10,byte11,byte12,byte13,byte14,byte15
17,0,17,0x0a076059061f5b6f7df6997786c7c910,10,7,96,89,6,31,91,111,125,-10,-103,119,-122,-57,-55,16
18,0,18,0xcecdd09607eb78c4f06aad6d650da8b1,-50,-51,-48,-106,7,-21,120,-60,-16,106,-83,109,101,13,-88,-79
19,0,19,0xb9a2058b128667d30fd1a6c5f0a7766a,-71,-94,5,-117,18,-122,103,-45,15,-47,-90,-59,-16,-89,118,106
20,0,20,0x5fc9095362126efa430ec70f27770f48,95,-55,9,83,98,18,110,-6,67,14,-57,15,39,119,15,72
21,0,21,0x728c49e6c8cadc1a6189f5599eaf822c,114,-116,73,-26,-56,-54,-36,26,97,-119,-11,89,-98,-81,-126,44
22,0,22,0x515aa9f5f4843f202ee918b4df90a697,81,90,-87,-11,-12,-124,63,32,46,-23,24,-76,-33,-112,-90,-105
23,0,23,0xa4fef82c1ed81f1ab8fb3872ede4a45a,-92,-2,-8,44,30,-40,31,26,-72,-5,56,114,-19,-28,-92,90
24,0,24,0x3cfd185959d8e5859c9027de1dd17f12,60,-3,24,89,89,-40,-27,-123,-100,-112,39,-34,29,-47,127,18
25,0,25,0xd66a208d8af6d569d04a6eb43755f946,-42,106,32,-115,-118,-10,-43,105,-48,74,110,-76,55,85,-7,70
26,0,26,0xc7c510f21f8bfd32e69b803ce19b2119,-57,-59,16,-14,31,-117,-3,50,-26,-101,-128,60,-31,-101,33,25
27,0,27,0x906bf4e9dfe3a357b23583d5a2998706,-112,107,-12,-23,-33,-29,-93,87,-78,53,-125,-43,-94,-103,-121,6
28,0,28,0xcf8b58a4588b4f2ec38e0852f98faa10,-49,-117,88,-92,88,-117,79,46,-61,-114,8,82,-7,-113,-86,16
29,0,29,0x761d8abf40c3a9fb799288cabbe034b1,118,29,-118,-65,64,-61,-87,-5,121,-110,-120,-54,-69,-32,52,-79
30,0,30,0xb606efba3015a73d2880850e26f10abd,-74,6,-17,-70,48,21,-89,61,40,-128,-123,14,38,-15,10,-67
31,0,31,0x11af9e10a6a4ea8b93c7b8966e6869b1,17,-81,-98,16,-90,-92,-22,-117,-109,-57,-72,-106,110,104,105,-79
32,1,0,0x8e60381791924a91e5ea45c37d3bede9,-114,96,56,23,-111,-110,74,-111,-27,-22,69,-61,125,59,-19,-23
33,1,1,0x48f2baed0f81d6b4f719c2261a3fdf9a,72,-14,-70,-19,15,-127,-42,-76,-9,25,-62,38,26,63,-33,-102
34,1,2,0x7576df38fb854e2e5a76e96793f6bb5d,117,118,-33,56,-5,-123,78,46,90,118,-23,103,-109,-10,-69,93
35,1,3,0xc420b62d69c14115b7949a193048643c,-60,32,-74,45,105,-63,65,21,-73,-108,-102,25,48,72,100,60
36,1,4,0x39712b9cef59d8e7294cea086e2f6c50,57,113,43,-100,-17,89,-40,-25,41,76,-22,8,110,47,108,80
37,1,5,0x4b2ae6d594be11659e2cd2584e234874,75,42,-26,-43,-108,-66,17,101,-98,44,-46,88,78,35,72,116
38,1,6,0x8618dcddb887bed27e2ca0265c7a4797,-122,24,-36,-35,-72,-121,-66,-46,126,44,-96,38,92,122,71,-105
39,1,7,0x4f66f6b2ebd736fa3a02d1967b709c28,79,102,-10,-78,-21,-41,54,-6,58,2,-47,-106,123,112,-100,40
40,1,8,0x980e4dcf9bd39a3c766163c4230bd82c,-104,14,77,-49,-101,-45,-102,60,118,97,99,-60,35,11,-40,44
41,1,9,0x7f0a4282f50e91cfc27245337a6f1c43,127,10,66,-126,-11,14,-111,-49,-62,114,69,51,122,111,28,67
42,1,10,0x02ead4dd216e1912f1e2bfe159d71eaf,2,-22,-44,-35,33,110,25,18,-15,-30,-65,-31,89,-41,30,-81
43,1,11,0x92196ce126306e31d26b75a4728965d9,-110,25,108,-31,38,48,110,49,-46,107,117,-92,114,-119,101,-39
44,1,12,0xac4d68aa7e646eef5e2cc1ee9acb9c44,-84,77,104,-86,126,100,110,-17,94,44,-63,-18,-102,-53,-100,68
45,1,13,0xab00b69a1dfd9b2d7b2a22fde3a68aca,-85,0,-74,-102,29,-3,-101,45,123,42,34,-3,-29,-90,-118,-54
46,1,14,0x690ca2876b91055ae1f456d8f448676c,105,12,-94,-121,107,-111,5,90,-31,-12,86,-40,-12,72,103,108
47,1,15,0xed97639dec2068f947261cd356035223,-19,-105,99,-99,-20,32,104,-7,71,38,28,-45,86,3,82,35
48,1,16,0xc9ef71982780c318732a16842c458bab,-55,-17,113,-104,39,-128,-61,24,115,42,22,-124,44,69,-117,-85
49,1,17,0xe99b7df81df7edd4d42d0df694a87ead,-23,-101,125,-8,29,-9,-19,-44,-44,45,13,-10,-108,-88,126,-83
50,1,18,0x119509c26ad168a9e3e318d6c9bf411a,17,-107,9,-62,106,-47,104,-87,-29,-29,24,-42,-55,-65,65,26
51,1,19,0xfae1c7b58a8258101d0225bf65b4d279,-6,-31,-57,-75,-118,-126,88,16,29,2,37,-65,101,-76,-46,121
52,1,20,0x6783e6c6852edf41da2e919bfb6ee638,103,-125,-26,-58,-123,46,-33,65,-38,46,-111,-101,-5,110,-26,56
53,1,21,0xcddfb66c30f72a4eaf0694d81d1fd446,-51,-33,-74,108,48,-9,42,78,-81,6,-108,-40,29,31,-44,70
54,1,22,0xaf6bf70af9d395ed3be65beec6daaba4,-81,107,-9,10,-7,-45,-107,-19,59,-26,91,-18,-58,-38,-85,-92
55,1,23,0x893db9eba0cb991548b30ddd6ea36517,-119,61,-71,-21,-96,-53,-103,21,72,-77,13,-35,110,-93,101,23
56,1,24,0xa033390c3d3727a28bf5b00112486483,-96,51,57,12,61,55,39,-94,-117,-11,-80,1,18,72,100,-125
57,1,25,0x748c334da9368e4e9af6c02548ecc55c,116,-116,51,77,-87,54,-114,78,-102,-10,-64,37,72,-20,-59,92
58,1,26,0x064a597b8469f36d45baa9487d14f4c5,6,74,89,123,-124,105,-13,109,69,-70,-87,72,125,20,-12,-59
59,1,27,0xfc5fdf526285e34c51b17b94d14a8a7b,-4,95,-33,82,98,-123,-29,76,81,-79,123,-108,-47,74,-118,123
60,1,28,0x4e4c3b62ad0d6b002a67647c21863f86,78,76,59,98,-83,13,107,0,42,103,100,124,33,-122,63,-122
61,1,29,0x745891e0bfbbe37576efea50a37ca1a5,116,88,-111,-32,-65,-69,-29,117,118,-17,-22,80,-93,124,-95,-91
62,1,30,0xb50a5ff9be342b520b9dc703941ea249,-75,10,95,-7,-66,52,43,82,11,-99,-57,3,-108,30,-94,73
63,1,31,0x0af57ff938483aa7d4901dace54b7738,10,-11,127,-7,56,72,58,-89,-44,-112,29,-84,-27,75,119,56
64,2,0,0xed100dd251cbcf2226ed1489cd778ff0,-19,16,13,-46,81,-53,-49,34,38,-19,20,-119,-51,119,-113,-16
65,2,1,0x5cc2eb74d2523c636ade036aac1b918f,92,-62,-21,116,-46,82,60,99,106,-34,3,106,-84,27,-111,-113
66,2,2,0x873ac90cd888a81fe9842ed82c0d5662,-121,58,-55,12,-40,-120,-88,31,-23,-124,46,-40,44,13,86,98
67,2,3,0xdf934acf3b28b8c2973f8b94e7b758f6,-33,-109,74,-49,59,40,-72,-62,-105,63,-117,-108,-25,-73,88,-10
68,2,4,0x4fdadd8a5a67130cbbf92a6d67a51dab,79,-38,-35,-118,90,103,19,12,-69,-7,42,109,103,-91,29,-85
69,2,5,0xa8d099de17c15ffb18d8623201f5b3f8,-88,-48,-103,-34,23,-63,95,-5,24,-40,98,50,1,-11,-77,-8
70,2,6,0xf2a4ed50248519aec666e2b8c9e6fbdc,-14,-92,-19,80,36,-123,25,-82,-58,102,-30,-72,-55,-26,-5,-36
71,2,7,0x58f889b7d1b85150671d4d8bcbde41b5,88,-8,-119,-73,-47,-72,81,80,103,29,77,-117,-53,-34,65,-75
72,2,8,0xb2843abb416a46e2aa4cab5658b08b8d,-78,-124,58,-69,65,106,70,-30,-86,76,-85,86,88,-80,-117,-115
73,2,9,0xb46c0b9da314f2aa0e436850f5611cd1,-76,108,11,-99,-93,20,-14,-86,14,67,104,80,-11,97,28,-47
74,2,10,0x11b23dbda21839e130afd45711385833,17,-78,61,-67,-94,24,57,-31,48,-81,-44,87,17,56,88,51
75,2,11,0x8e9b65077ba3e2567ed1ff1ee01690ac,-114,-101,101,7,123,-93,-30,86,126,-47,-1,30,-32,22,-112,-84
76,2,12,0x2c3216ccf0f7dca1785baf0c81b4b95b,44,50,22,-52,-16,-9,-36,-95,120,91,-81,12,-127,-76,-71,91
77,2,13,0xd4509782e1d61a08d00c6b952e42b89a,-44,80,-105,-126,-31,-42,26,8,-48,12,107,-107,46,66,-72,-102
78,2,14,0x39fcd22f47bb5ce3079236e413c5214b,57,-4,-46,47,71,-69,92,-29,7,-110,54,-28,19,-59,33,75
79,2,15,0x40e23dba5bef7059e117305599e53e57,64,-30,61,-70,91,-17,112,89,-31,23,48,85,-103,-27,62,87
80,2,16,0xc023dd749aaf2cde497d9d39bc134205,-64,35,-35,116,-102,-81,44,-34,73,125,-99,57,-68,19,66,5
81,2,17,0x7166580c207ce33c98c6cd47d2e1a52b,113,102,88,12,32,124,-29,60,-104,-58,-51,71,-46,-31,-91,43
82,2,18,0x72b93e368c1eaa8a750f6930ecae94a7,114,-71,62,54,-116,30,-86,-118,117,15,105,48,-20,-82,-108,-89
83,2,19,0x6919c7720c78691a536ee8ff617ed58a,105,25,-57,114,12,120,105,26,83,110,-24,-1,97,126,-43,-118
84,2,20,0xbd485685f2ad35f5f74ad0f4d1370196,-67,72,86,-123,-14,-83,53,-11,-9,74,-48,-12,-47,55,1,-106
85,2,21,0xb29540ac1d9634a1bd41cf1ed5dcdf0d,-78,-107,64,-84,29,-106,52,-95,-67,65,-49,30,-43,-36,-33,13
86,2,22,0x8918548d51e2c735b30787f170ebe605,-119,24,84,-115,81,-30,-57,53,-77,7,-121,-15,112,-21,-26,5
87,2,23,0xb9a01ffc017a95758d007efeba111e1d,-71,-96,31,-4,1,122,-107,117,-115,0,126,-2,-70,17,30,29
88,2,24,0xb39d8e56043a66d0d1ad3fec110099b5,-77,-99,-114,86,4,58,102,-48,-47,-83,63,-20,17,0,-103,-75
89,2,25,0x078b64d16df8fd34fc0a9e16221034b0,7,-117,100,-47,109,-8,-3,52,-4,10,-98,22,34,16,52,-80
90,2,26,0x36ca73b0ea7cfeb9f48a6d09fbfb270a,54,-54,115,-80,-22,124,-2,-71,-12,-118,109,9,-5,-5,39,10
91,2,27,0x778c9a314392c4a2db0a27ddba8b94e6,119,-116,-102,49,67,-110,-60,-94,-37,10,39,-35,-70,-117,-108,-26
92,2,28,0x1525c6b7b62f703af3a72b1e96ec00c4,21,37,-58,-73,-74,47,112,58,-13,-89,43,30,-106,-20,0,-60
93,2,29,0x997598d3ced2acd8ace9a815af727a6f,-103,117,-104,-45,-50,-46,-84,-40,-84,-23,-88,21,-81,114,122,111
94,2,30,0x73c55375545cf2627e5648ee5abbb50a,115,-59,83,117,84,92,-14,98,126,86,72,-18,90,-69,-75,10
95,2,31,0xc2b95a228e354fc520aa50c6ecc89f06,-62,-71,90,34,-114,53,79,-59,32,-86,80,-58,-20,-56,-97,6
96,3,0,0x3d5c651fe77fcfae608a97f17aae5e83,61,92,101,31,-25,127,-49,-82,96,-118,-105,-15,122,-82,94,-125
97,3,1,0xeb470bd574ee571b5dc3ff25a0ac45a9,-21,71,11,-43,116,-18,87,27,93,-61,-1,37,-96,-84,69,-87
98,3,2,0xc24afe889c81c20c6074e8daed305acb,-62,74,-2,-120,-100,-127,-62,12,96,116,-24,-38,-19,48,90,-53
99,3,3,0xd791790fe7bccee88ff95fa13555b09c,-41,-111,121,15,-25,-68,-50,-24,-113,-7,95,-95,53,85,-80,-100
100,3,4,0x79b67e2df5dfaea6d8487c458834d1bb,121,-74,126,45,-11,-33,-82,-90,-40,72,124,69,-120,52,-47,-69
101,3,5,0xdd45b5128b3fd5c3deec1a84995c847a,-35,69,-75,18,-117,63,-43,-61,-34,-20,26,-124,-103,92,-124,122
102,3,6,0x1d67375e49809ad2fd9f767f9e947082,29,103,55,94,73,-128,-102,-46,-3,-97,118,127,-98,-108,112,-126
103,3,7,0x57acbda562f50643360c9e0df1d93703,87,-84,-67,-91,98,-11,6,67,54,12,-98,13,-15,-39,55,3
104,3,8,0xffc015f06cd6c9eaf75df4a27b09a740,-1,-64,21,-16,108,-42,-55,-22,-9,93,-12,-94,123,9,-89,64
105,3,9,0xa6005af9e09290a5fa11c0ab641587fb,-90,0,90,-7,-32,-110,-112,-91,-6,17,-64,-85,100,21,-121,-5
106,3,10,0x92bc7e41c4e0965a80b6ccbb8b2f5929,-110,-68,126,65,-60,-32,-106,90,-128,-74,-52,-69,-117,47,89,41
107,3,11,0x42c3c2c7f68cad9ffdbf1486107db978,66,-61,-62,-57,-10,-116,-83,-97,-3,-65,20,-122,16,125,-71,120
108,3,12,0x33ef82837689695872f05de153aa7718,51,-17,-126,-125,118,-119,105,88,114,-16,93,-31,83,-86,119,24
109,3,13,0x69c4fcc59ab0cbf4e40dd536415b38a9,105,-60,-4,-59,-102,-80,-53,-12,-28,13,-43,54,65,91,56,-87
110,3,14,0x859669d90881f8cbb90078eba5879902,-123,-106,105,-39,8,-127,-8,-53,-71,0,120,-21,-91,-121,-103,2
111,3,15,0xf68241c6527e8e0b687284cb6f19d761,-10,-126,65,-58,82,126,-114,11,104,114,-124,-53,111,25,-41,97
112,3,16,0x0e3be72528020c413d72b594af44e34e,14,59,-25,37,40,2,12,65,61,114,-75,-108,-81,68,-29,78
113,3,17,0x1d14d6dc885923ee436ebdb0b81d23cf,29,20,-42,-36,-120,89,35,-18,67,110,-67,-80,-72,29,35,-49
114,3,18,0xf38b9b9e6e256915a73fcd28cd2dcf07,-13,-117,-101,-98,110,37,105,21,-89,63,-51,40,-51,45,-49,7
115,3,19,0x0dc3f958a2e39088bb90e31eec7f7333,13,-61,-7,88,-94,-29,-112,-120,-69,-112,-29,30,-20,127,115,51
116,3,20,0xf23d968f3ab3ab152b83c01939f5a060,-14,61,-106,-113,58,-77,-85,21,43,-125,-64,25,57,-11,-96,96
117,3,21,0xbbfaec8c26f0fffc2185aa125d2fa967,-69,-6,-20,-116,38,-16,-1,-4,33,-123,-86,18,93,47,-87,103
118,3,22,0xff540bcf1ca42048b63de709feb5a208,-1,84,11,-49,28,-92,32,72,-74,61,-25,9,-2,-75,-94,8
119,3,23,0x5b3f40956b00256fb1fe9f0cfa48e1a3,91,63,64,-107,107,0,37,111,-79,-2,-97,12,-6,72,-31,-93
120,3,24,0x26fd76d55ea301ab1e7a323dccbe7b46,38,-3,118,-43,94,-93,1,-85,30,122,50,61,-52,-66,123,70
121,3,25,0x4552d99f8f2645a3ad6f2c0e7eab6bca,69,82,-39,-97,-113,38,69,-93,-83,111,44,14,126,-85,107,-54
122,3,26,0x98d7ca7f91588c03359e386d99e026d7,-104,-41,-54,127,-111,88,-116,3,53,-98,56,109,-103,-32,38,-41
123,3,27,0x4bae575dc9c67c2f9afabd88a514da1c,75,-82,87,93,-55,-58,124,47,-102,-6,-67,-120,-91,20,-38,28
124,3,28,0xf67976e14553db19edb2d97528226909,-10,121,118,-31,69,83,-37,25,-19,-78,-39,117,40,34,105,9
125,3,29,0xbcffe4bf4594494af50c0a3fb74d0435,-68,-1,-28,-65,69,-108,73,74,-11,12,10,63,-73,77,4,53
126,3,30,0x516759bd51bf86fae0de935fd7fbd18c,81,103,89,-67,81,-65,-122,-6,-32,-34,-109,95,-41,-5,-47,-116
127,3,31,0xa157820112c37b5bde6fa75bec3a3592,-95,87,-126,1,18,-61,123,91,-34,111,-89,91,-20,58,53,-110
128,4,0,0x6e46dcdc41b2e81282c56ada74e1f77f,110,70,-36,-36,65,-78,-24,18,-126,-59,106,-38,116,-31,-9,127
129,4,1,0xefac7ed8eb7f8ba3c7f31c1eed1d60b1,-17,-84,126,-40,-21,127,-117,-93,-57,-13,28,30,-19,29,96,-79
130,4,2,0xa4792bdac84449243e19c39b553475c8,-92,121,43,-38,-56,68,73,36,62,25,-61,-101,85,52,117,-56
131,4,3,0x3516b903f678f79d29bb8859a11ee147,53,22,-71,3,-10,120,-9,-99,41,-69,-120,89,-95,30,-31,71
132,4,4,0xc8a7cc00d163683193da9c10e27e43fd,-56,-89,-52,0,-47,99,104,49,-109,-38,-100,16,-30,126,67,-3
133,4,5,0x0250c0d80a02f82308337db530234061,2,80,-64,-40,10,2,-8,35,8,51,125,-75,48,35,64,97
134,4,6,0xa9d788d7c6ea0d0dc54a2a487af87058,-87,-41,-120,-41,-58,-22,13,13,-59,74,42,72,122,-8,112,88
135,4,7,0xf31c25344727eb894f6b59d598fe12c8,-13,28,37,52,71,39,-21,-119,79,107,89,-43,-104,-2,18,-56
136,4,8,0xad04bc8d4d5a01728fd519c8bb590964,-83,4,-68,-115,77,90,1,114,-113,-43,25,-56,-69,89,9,100
137,4,9,0x8e30d49de5f110c7c046ef4afef602c9,-114,48,-44,-99,-27,-15,16,-57,-64,70,-17,74,-2,-10,2,-55
138,4,10,0x451c84d848d81ceaa108917b86cd0d00,69,28,-124,-40,72,-40,28,-22,-95,8,-111,123,-122,-51,13,0
139,4,11,0x75cb39775f27856317706733c9f89494,117,-53,57,119,95,39,-123,99,23,112,103,51,-55,-8,-108,-108
140,4,12,0x1264a98d5ffb11d49bccc62a618fd23a,18,100,-87,-115,95,-5,17,-44,-101,-52,-58,42,97,-113,-46,58
141,4,13,0xc166a90ba196739a0f37258677f9cc9e,-63,102,-87,11,-95,-106,115,-102,15,55,37,-122,119,-7,-52,-98
142,4,14,0x2e8b75958c97e621d8f227fc8b3fdc9f,46,-117,117,-107,-116,-105,-26,33,-40,-14,39,-4,-117,63,-36,-97
143,4,15,0xf65346b8baa59604c60fee2bc179f037,-10,83,70,-72,-70,-91,-106,4,-58,15,-18,43,-63,121,-16,55
144,4,16,0x23baac0b41fb80a1c18e79f4745a8ae4,35,-70,-84,11,65,-5,-128,-95,-63,-114,121,-12,116,90,-118,-28
145,4,17,0x644fdbaecc3990314dcdc178bf06dde1,100,79,-37,-82,-52,57,-112,49,77,-51,-63,120,-65,6,-35,-31
146,4,18,0x945c4eac0f37d3f978c66f6e6e8f1ee9,-108,92,78,-84,15,55,-45,-7,120,-58,111,110,110,-113,30,-23
147,4,19,0xef5b52fe543cc0ef5ee20ab10f32a00b,-17,91,82,-2,84,60,-64,-17,94,-30,10,-79,15,50,-96,11
148,4,20,0x9683e2e3ec627e9f05fc9e08c4cbfd95,-106,-125,-30,-29,-20,98,126,-97,5,-4,-98,8,-60,-53,-3,-107
149,4,21,0x7f58bff3e5519043741e29984e63373c,127,88,-65,-13,-27,81,-112,67,116,30,41,-104,78,99,55,60
150,4,22,0x3111691c7c0aed73667bc887902b2bfd,49,17,105,28,124,10,-19,115,102,123,-56,-121,-112,43,43,-3
151,4,23,0x983730ee05775f3adbc7853e5764c3df,-104,55,48,-18,5,119,95,58,-37,-57,-123,62,87,100,-61,-33
152,4,24,0xa9164d29fd3353d3221ee692f24265d3,-87,22,77,41,-3,51,83,-45,34,30,-26,-110,-14,66,101,-45
153,4,25,0xe9cbb43dc8ac8b2067118f9315a88e2f,-23,-53,-76,61,-56,-84,-117,32,103,17,-113,-109,21,-88,-114,47
154,4,26,0x6b04ccd8ba8f093b4789776399575e1b,107,4,-52,-40,-70,-113,9,59,71,-119,119,99,-103,87,94,27
155,4,27,0xbf7f4dad3fd93fc9d53d706bdaa091f5,-65,127,77,-83,63,-39,63,-55,-43,61,112,107,-38,-96,-111,-11
156,4,28,0xc1abc91e2adc29dbe9e8ebc1a88df691,-63,-85,-55,30,42,-36,41,-37,-23,-24,-21,-63,-88,-115,-10,-111
157,4,29,0xb681b9c9fd8bfdf129e051f69398841c,-74,-127,-71,-55,-3,-117,-3,-15,41,-32,81,-10,-109,-104,-124,28
158,4,30,0xb024fe61179175aa936737e36d0f825e,-80,36,-2,97,23,-111,117,-86,-109,103,55,-29,109,15,-126,94
159,4,31,0x10274c0c2b4f15e0783b75e14dfc8d50,16,39,76,12,43,79,21,-32,120,59,117,-31,77,-4,-115,80
160,5,0,0x70d10ee85064b52d7e9f2c22ab13f6c3,112,-47,14,-24,80,100,-75,45,126,-97,44,34,-85,19,-10,-61
161,5,1,0x601ca74231303ec1a298bd1c8d99466a,96,28,-89,66,49,48,62,-63,-94,-104,-67,28,-115,-103,70,106
162,5,2,0xae98fd31dca3e99604456d4ae5eb5387,-82,-104,-3,49,-36,-93,-23,-106,4,69,109,74,-27,-21,83,-121
163,5,3,0x7f1c7dc3f056a7f9ec817bd1b50b5e0d,127,28,125,-61,-16,86,-89,-7,-20,-127,123,-47,-75,11,94,13
164,5,4,0x4d508384ff97fb2dfb52474c852532f1,77,80,-125,-124,-1,-105,-5,45,-5,82,71,76,-123,37,50,-15
165,5,5,0x30be3e97acd44c82ae76102add146b14,48,-66,62,-105,-84,-44,76,-126,-82,118,16,42,-35,20,107,20
166,5,6,0x3663aa893b35402dbddacae4ff84ca2c,54,99,-86,-119,59,53,64,45,-67,-38,-54,-28,-1,-124,-54,44
167,5,7,0xd6e3551929ea94d759d3129866e566bb,-42,-29,85,25,41,-22,-108,-41,89,-45,18,-104,102,-27,102,-69
168,5,8,0xee940ab21539c89aa0f7f8e549e28d18,-18,-108,10,-78,21,57,-56,-102,-96,-9,-8,-27,73,-30,-115,24
169,5,9,0xa4671d8fea9d1614974c9c34fc6f303f,-92,103,29,-113,-22,-99,22,20,-105,76,-100,52,-4,111,48,63
170,5,10,0xeae33af2ef14b80055b91206c3256126,-22,-29,58,-14,-17,20,-72,0,85,-71,18,6,-61,37,97,38
171,5,11,0xf1ed7e6e7ead1df8961daf7cd3c1d656,-15,-19,126,110,126,-83,29,-8,-106,29,-81,124,-45,-63,-42,86
172,5,12,0x1a7686aafe30d1d244d3e9a6fb47c77f,26,118,-122,-86,-2,48,-47,-46,68,-45,-23,-90,-5,71,-57,127
173,5,13,0x364163fa4f92d89fab94202b26293a1e,54,65,99,-6,79,-110,-40,-97,-85,-108,32,43,38,41,58,30
174,5,14,0x13900170b5af31f343195226a6a0f732,19,-112,1,112,-75,-81,49,-13,67,25,82,38,-90,-96,-9,50
175,5,15,0x292e1e867a415e3ce2c9426c78df5dd1,41,46,30,-122,122,65,94,60,-30,-55,66,108,120,-33,93,-47
176,5,16,0x70234984551da35c435106b77cd75225,112,35,73,-124,85,29,-93,92,67,81,6,-73,124,-41,82,37
177,5,17,0xbec24bc867c6104a2f8fbfe65f47b7a6,-66,-62,75,-56,103,-58,16,74,47,-113,-65,-26,95,71,-73,-90
178,5,18,0x5681830c70a713e4e9f77eaecf26adfb,86,-127,-125,12,112,-89,19,-28,-23,-9,126,-82,-49,38,-83,-5
179,5,19,0x185cc6fa2affefe842df5250d21051a8,24,92,-58,-6,42,-1,-17,-24,66,-33,82,80,-46,16,81,-88
180,5,20,0x393d767f9adbea9117d8a7c003db5533,57,61,118,127,-102,-37,-22,-111,23,-40,-89,-64,3,-37,85,51
181,5,21,0x97fabdc7f203eb5f4f54509940c38c70,-105,-6,-67,-57,-14,3,-21,95,79,84,80,-103,64,-61,-116,112
182,5,22,0x4043bbc591087b05e3b477b8463fcf32,64,67,-69,-59,-111,8,123,5,-29,-76,119,-72,70,63,-49,50
183,5,23,0x99a1033cf9fa570e357444cbfa7dda08,-103,-95,3,60,-7,-6,87,14,53,116,68,-53,-6,125,-38,8
184,5,24,0xedab6eef8fafb9e5905db68b3450b6fd,-19,-85,110,-17,-113,-81,-71,-27,-112,93,-74,-117,52,80,-74,-3
185,5,25,0xa9df1c32d074f433e2dbec2c9ef1c166,-87,-33,28,50,-48,116,-12,51,-30,-37,-20,44,-98,-15,-63,102
186,5,26,0xf1e3e5a8a5b4e24f6cdc97da3bf33bc3,-15,-29,-27,-88,-91,-76,-30,79,108,-36,-105,-38,59,-13,59,-61
187,5,27,0x1db9b0f6eb884148d58b765da2eaed47,29,-71,-80,-10,-21,-120,65,72,-43,-117,118,93,-94,-22,-19,71
188,5,28,0x461d39ae362cd7c0b7aedd40e68d259d,70,29,57,-82,54,44,-41,-64,-73,-82,-35,64,-26,-115,37,-99
189,5,29,0x60855c1ace420df51ff2c45f1dde3d4d,96,-123,92,26,-50,66,13,-11,31,-14,-60,95,29,-34,61,77
190,5,30,0xf02eccef05034cfff624bf0a7b2b530f,-16,46,-52,-17,5,3,76,-1,-10,36,-65,10,123,43,83,15
191,5,31,0x76860dba413271ca566710cf7868fdb9,118,-122,13,-70,65,50,113,-54,86,103,16,-49,120,104,-3,-71
192,6,0,0x34ff9921069ad3de431b77a90f46f82d,52,-1,-103,33,6,-102,-45,-34,67,27,119,-87,15,70,-8,45
193,6,1,0x35c0ecdb3e2bd23be6dd48e4774a5d9e,53,-64,-20,-37,62,43,-46,59,-26,-35,72,-28,119,74,93,-98
194,6,2,0x627a1fbc59714f8f33cb91151e27a037,98,122,31,-68,89,113,79,-113,51,-53,-111,21,30,39,-96,55
195,6,3,0x409c3b665f5053106145ae1ff9189e03,64,-100,59,102,95,80,83,16,97,69,-82,31,-7,24,-98,3
